record_id,tier,source,name,state,county,capacity_mw,opposed_flag,lifecycle_outcome,origin_date,origin_precision,end_date,end_kind,span_days,event_observed,source_url
ext_00138,external,loudoun_lola,TUSCARORA CROSSING LAND BAY 3 (STPL-2020-0046),VA,,,no,In Review,2024-08-09,day,2026-08-18,censored_asof,739,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00139,external,loudoun_lola,Brambleton Shreveport South Data Center,VA,,,no,In Review,2025-06-10,day,2026-08-18,censored_asof,434,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00140,external,loudoun_lola,Brambleton Shreveport South Data Center,VA,,,no,Approved,2025-06-10,day,2026-08-18,censored_asof,434,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00141,external,loudoun_lola,RIDGETOP CENTER,VA,,,no,Submitted - Online,2026-08-07,day,2026-08-18,censored_asof,11,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00142,external,loudoun_lola,RIDGETOP CENTER,VA,,,no,Submitted - Online,2026-08-07,day,2026-08-18,censored_asof,11,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00143,external,loudoun_lola,MANEKIN PLAZA,VA,,,no,Submitted - Online,2026-08-07,day,2026-08-18,censored_asof,11,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00144,external,loudoun_lola,MANEKIN PLAZA,VA,,,no,Submitted - Online,2026-08-07,day,2026-08-18,censored_asof,11,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00145,external,loudoun_lola,VWPP Belmont Innovation,VA,,,no,Approved,2023-10-10,day,2026-08-18,censored_asof,1043,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00146,external,loudoun_lola,Vantage Data Center VA3,VA,,,no,Approved,2023-11-03,day,2026-08-18,censored_asof,1019,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00147,external,loudoun_lola,EPLAN-2023-0132,VA,,,no,Approved,2024-02-16,day,2026-08-18,censored_asof,914,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
