fips,county_name,median_hh_income,population,land_sqmi,pop_density_sqmi,pct_bachelors_plus,acs_vintage,source
02275,"Wrangell City and Borough, Alaska",64545,2106,2556.131,0.82,18.88,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02282,"Yakutat City and Borough, Alaska",80625,506,7625.25,0.07,14.82,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02290,"Yukon-Koyukuk Census Area, Alaska",52642,5271,145581.869,0.04,12.79,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04001,"Apache County, Arizona",40338,65680,11198.313,5.87,15.27,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04003,"Cochise County, Arizona",58970,125458,6209.863,20.2,27.66,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04005,"Coconino County, Arizona",69748,144643,18616.354,7.77,39.62,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04007,"Gila County, Arizona",59089,53610,4757.578,11.27,18.85,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04009,"Graham County, Arizona",67326,38860,4621.877,8.41,14.59,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04011,"Greenlee County, Arizona",75239,9452,1842.838,5.13,20.41,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04012,"La Paz County, Arizona",49506,16605,4496.579,3.69,13.86,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04013,"Maricopa County, Arizona",85518,4491987,9202.016,488.15,35.86,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04015,"Mohave County, Arizona",55799,217420,13332.117,16.31,14.89,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04017,"Navajo County, Arizona",52752,107744,9949.492,10.83,17.63,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04019,"Pima County, Arizona",67929,1049947,9188.683,114.27,35.87,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04021,"Pinal County, Arizona",77588,449219,5366.671,83.71,22.15,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04023,"Santa Cruz County, Arizona",53614,48209,1236.26,39.0,24.07,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04025,"Yavapai County, Arizona",66106,241656,8122.932,29.75,29.6,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
04027,"Yuma County, Arizona",60417,207685,5513.82,37.67,16.67,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05001,"Arkansas County, Arkansas",60831,16773,992.14,16.91,15.33,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05003,"Ashley County, Arkansas",44481,18722,925.492,20.23,12.18,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05005,"Baxter County, Arkansas",48427,42150,553.931,76.09,18.75,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05007,"Benton County, Arkansas",89879,294541,847.733,347.45,36.61,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05009,"Boone County, Arkansas",54195,37896,589.723,64.26,16.31,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05011,"Bradley County, Arkansas",39565,10354,649.167,15.95,15.77,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05013,"Calhoun County, Arkansas",63654,4717,628.601,7.5,18.1,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05015,"Carroll County, Arkansas",55187,28526,629.928,45.28,21.12,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05017,"Chicot County, Arkansas",39683,9997,636.978,15.69,17.23,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05019,"Clark County, Arkansas",50985,21378,865.971,24.69,25.49,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05021,"Clay County, Arkansas",48500,14399,639.224,22.53,15.62,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05023,"Cleburne County, Arkansas",55979,25048,553.959,45.22,18.27,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05025,"Cleveland County, Arkansas",50509,7491,597.91,12.53,16.25,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05027,"Columbia County, Arkansas",47363,22527,766.065,29.41,20.38,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05029,"Conway County, Arkansas",51212,20872,551.917,37.82,18.17,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
