state,county,census_instrument,census_status,census_episodes,census_statuses,census_date,census_source,tracker_mechanism,tracker_outcome,tracker_date,model_label,join_status,gap_class,label_check,label_false_negative
IN,Huntington County,moratorium,active,1,active,2026-02-23,"moratorium-nation:in-huntington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-02-23,1,joined,covered_unconfirmed,agree,0
IN,Madison County,moratorium,active,1,active,2026-06-17,https://www.heraldbulletin.com/news/local_news/madison-county-being-asked-for-data-center-moratorium/article_57dc7598-1ead-4570-81c9-2e8306d8268a.html,moratorium,blocked_confirmed,2026-06-17,1,joined,covered_confirmed,agree,0
IN,Marshall County,ban,active,1,active,2026-04-20,https://wkvi.com/2026/07/starke-county-planning-commission-begins-exploring-possible-countywide-data-center-ban/ (ban succeeding expired 2025 moratorium),ban,blocked_confirmed,2026-04-20,1,joined,covered_confirmed,agree,0
IN,Pulaski County,moratorium,active,1,active,2026-01-20,"moratorium-nation:in-pulaski-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-01-20,1,joined,covered_unconfirmed,agree,0
IN,Putnam County,moratorium,active,1,active,2025-11-17,"moratorium-nation:in-putnam-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2025-11-01,1,joined,covered_unconfirmed,agree,0
IN,Shelby County,moratorium,active,1,active,2026-02-23,"moratorium-nation:in-shelby-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-02-23,1,joined,covered_unconfirmed,agree,0
IN,Starke County,moratorium,active,1,active,2025-12-15,"moratorium-nation:in-starke-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2025-12-04,1,joined,covered_confirmed,agree,0
IN,White County,moratorium,replaced,1,replaced,2025-10-20,"moratorium-nation:in-white-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-10-01,1,joined,covered_unconfirmed,agree,0
KS,Brown County,moratorium,active,1,active,2026-03-02,"moratorium-nation:ks-brown-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-03-02,1,joined,covered_unconfirmed,agree,0
KS,Harvey County,moratorium,active,1,active,2026-01-13,"moratorium-nation:ks-harvey-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-01-13,1,joined,covered_unconfirmed,agree,0
