state,county,instrument,census_status,date_enacted,source
PA,Lycoming County,moratorium,active,2026-06-18,"moratorium-nation:pa-lycoming-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
SC,Chester County,moratorium,active,2026-07-20,"moratorium-nation:sc-chester-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
SC,Chesterfield County,moratorium,active,2026-06-01,"moratorium-nation:sc-chesterfield-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
SC,Colleton County,moratorium,active,2026-07-06,"moratorium-nation:sc-colleton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
SC,Greenwood County,moratorium,active,2026-07-21,"moratorium-nation:sc-greenwood-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
SC,Newberry County,moratorium,active,2026-06-05,"moratorium-nation:sc-newberry-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
SC,York County,moratorium,active,2026-07-13,"moratorium-nation:sc-york-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
SD,Yankton County,moratorium,active,2026-07-21,"moratorium-nation:sd-yankton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Anderson County,moratorium,active,2026-06-15,"moratorium-nation:tn-anderson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Cumberland County,moratorium,active,2026-06-15,"moratorium-nation:tn-cumberland-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Knox County,moratorium,active,2026-06-22,"moratorium-nation:tn-knox-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Loudon County,moratorium,active,2026-06-29,"moratorium-nation:tn-loudon-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Morgan County,moratorium,active,2026-06-12,"moratorium-nation:tn-morgan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Unincorporated Hamilton County,moratorium,active,2026-07-15,"moratorium-nation:tn-unincorporated-hamilton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Warren County,moratorium,active,2026-06-22,"moratorium-nation:tn-warren-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,White County,moratorium,active,2026-07,"moratorium-nation:tn-white-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TX,Austin County,moratorium,pending,2026-07-27,"moratorium-nation:tx-austin-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TX,Hill County,moratorium,rescinded,2026-05-12,"moratorium-nation:tx-hill-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
UT,Box Elder County,moratorium,active,2026-06-10,"moratorium-nation:ut-box-elder-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
UT,Cache County,moratorium,active,2026-06-23,"moratorium-nation:ut-cache-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
UT,Grand County,moratorium,active,2026-07-07,"moratorium-nation:ut-grand-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
UT,Iron County,moratorium,active,2026-05-26,"moratorium-nation:ut-iron-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
UT,Wayne County,moratorium,active,2026-07-08,"moratorium-nation:ut-wayne-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WA,Skagit County,moratorium,active,2026-06-01,"moratorium-nation:wa-skagit-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WA,Snohomish County,moratorium,active,2026-06-24,"moratorium-nation:wa-snohomish-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WI,Dane County,moratorium,active,2026-06-04,"moratorium-nation:wi-dane-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WI,Door County,moratorium,active,2026-05-26,"moratorium-nation:wi-door-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WI,Grant County,moratorium,active,2026-06-16,"moratorium-nation:wi-grant-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WI,Green County,moratorium,active,2026-07-14,"moratorium-nation:wi-green-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WI,La Crosse County,moratorium,active,2026-06-18,"moratorium-nation:wi-la-crosse-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WI,Monroe County,moratorium,active,2026-07-21,"moratorium-nation:wi-monroe-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WI,Shawano County,moratorium,active,2026-06-24,"moratorium-nation:wi-shawano-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
