fips,raw_oof_score,calibrated_score,score_decile,has_enacted_restrictive
39045,0.1928,0.1948,9,0
39047,0.0653,0.0585,5,0
39049,0.6117,0.6614,10,1
39051,0.1617,0.1634,9,0
39053,0.0693,0.0626,6,0
39055,0.1633,0.1641,9,0
39057,0.2064,0.2132,9,1
39059,0.0724,0.0676,6,0
39061,0.4131,0.4333,10,1
39063,0.1224,0.1209,8,1
39065,0.07,0.0652,6,0
39067,0.048,0.041,3,0
39069,0.0691,0.0641,6,0
39071,0.0727,0.0662,6,1
39073,0.0637,0.0589,5,0
39075,0.075,0.0722,6,0
39077,0.089,0.0838,7,0
39079,0.0716,0.0668,6,0
39081,0.0989,0.0946,7,0
39083,0.1025,0.0985,8,0
39085,0.3609,0.3791,10,1
39087,0.172,0.1781,9,1
39089,0.3152,0.3277,10,1
39091,0.0837,0.078,7,0
39093,0.2003,0.2064,9,1
39095,0.2324,0.2461,10,1
39097,0.0892,0.0872,7,0
39099,0.2074,0.2209,9,0
39101,0.0899,0.0855,7,0
39103,0.1968,0.2059,9,0
39105,0.0557,0.0524,5,0
39107,0.0865,0.0821,7,0
39109,0.255,0.2785,10,0
39111,0.1324,0.1323,8,0
39113,0.2522,0.2685,10,1
39115,0.0464,0.0394,3,0
39117,0.0758,0.0711,6,0
39119,0.107,0.1048,8,0
39121,0.0491,0.0454,4,0
39123,0.1055,0.1033,8,0
39125,0.0568,0.0532,5,0
39127,0.0711,0.0662,6,0
39129,0.182,0.1859,9,1
39131,0.1247,0.1234,8,0
39133,0.1678,0.1701,9,0
39135,0.0798,0.0773,7,0
39137,0.0857,0.0829,7,0
39139,0.1213,0.1197,8,0
39141,0.093,0.0881,7,0
39143,0.182,0.1841,9,0
39145,0.1803,0.1884,9,0
39147,0.0904,0.0885,7,1
39149,0.1737,0.1807,9,0
39151,0.3492,0.3662,10,1
39153,0.3091,0.3211,10,1
39155,0.3552,0.4003,10,1
39157,0.1067,0.1035,8,0
39159,0.2776,0.2871,10,1
39161,0.1304,0.1278,8,0
39163,0.046,0.0389,3,0
39165,0.3086,0.3206,10,0
39167,0.0912,0.0871,7,0
39169,0.1312,0.131,8,0
39171,0.0711,0.0646,6,0
