opposed_project_id,opposed_project_name,opposed_state,opposed_lifecycle_outcome,opposed_decided,opposed_capacity_mw,opposed_county_margin_2024,control_rank,control_universe_id,control_name,control_source,control_state,control_capacity_mw,control_county_margin_2024,match_distance,match_basis,match_relaxation,match_scope
prj_231,Panther Creek (Nesquehoning) HPC/AI Conversion,PA,advanced_confirmed,yes,350.0,-0.3479,1,prj_285,Linde Clinton Data Center,proposals_unopposed,PA,,-0.3709,0.0230,margin,state+tercile+caliper,in_state
prj_231,Panther Creek (Nesquehoning) HPC/AI Conversion,PA,advanced_confirmed,yes,350.0,-0.3479,2,prj_302,TECfusions “Keystone Connect” AI Campus,proposals_unopposed,PA,336.0,-0.2842,0.0407,margin+log_mw,state+tercile+caliper,in_state
prj_231,Panther Creek (Nesquehoning) HPC/AI Conversion,PA,advanced_confirmed,yes,350.0,-0.3479,3,prj_294,Sharon Keel Infrastructure Data Center Expansion,proposals_unopposed,PA,110.0,-0.3016,0.2745,margin+log_mw,state+tercile+caliper,in_state
prj_232,Zediker Station Data Center,PA,pending,no,,-0.2551,1,prj_302,TECfusions “Keystone Connect” AI Campus,proposals_unopposed,PA,336.0,-0.2842,0.0291,margin,state+tercile+caliper,in_state
prj_232,Zediker Station Data Center,PA,pending,no,,-0.2551,2,prj_294,Sharon Keel Infrastructure Data Center Expansion,proposals_unopposed,PA,110.0,-0.3016,0.0465,margin,state+tercile+caliper,in_state
prj_232,Zediker Station Data Center,PA,pending,no,,-0.2551,3,prj_140,Andover Data Center,proposals_unopposed,NJ,,-0.2494,1.5057,margin,national+caliper,national_fallback
prj_235,Blakely AI Data Center,PA,blocked_confirmed,yes,400.0,0.0279,1,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_235,Blakely AI Data Center,PA,blocked_confirmed,yes,400.0,0.0279,2,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_235,Blakely AI Data Center,PA,blocked_confirmed,yes,400.0,0.0279,3,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,0.0357,margin,state+tercile+caliper,in_state
prj_237,Project Gold,PA,pending,no,1500.0,0.0279,1,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_237,Project Gold,PA,pending,no,1500.0,0.0279,2,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
