state,county,instrument,census_status,date_enacted,source
ND,Williams County,moratorium,replaced,2023-06-20,"moratorium-nation:nd-williams-county-2023 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NE,Hitchcock County,moratorium,replaced,2025-02-03,"moratorium-nation:ne-hitchcock-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NE,Otoe County,moratorium,pending,,"moratorium-nation:ne-otoe-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
PA,Montour County,moratorium,active,2025-11-18,"moratorium-nation:pa-montour-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Hawkins County,moratorium,active,2025-09-22,"moratorium-nation:tn-hawkins-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Sullivan County,moratorium,expired,2025-12-18,"moratorium-nation:tn-sullivan-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Washington County,moratorium,active,2026-03-23,"moratorium-nation:tn-washington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
VA,Fluvanna County,moratorium,replaced,2025-09-17,"moratorium-nation:va-fluvanna-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
WI,Manitowoc County,moratorium,active,2026-04-28,"moratorium-nation:wi-manitowoc-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
TN,Sumner County,moratorium,active,2026-07-29,https://www.wsmv.com/2026/07/29/future-data-centers-unclear-midstate-one-county-tables-moratorium-other-area-passes-pause-applications/ (hawthorn-tva-review-2026-08-21: Gallatin city action)
NC,Cherokee County,moratorium,active,,"https://www.law360.com/articles/2511658 (hawthorn-tva-review-2026-08-21: date and precise ordinance status uncertain across sources, see review note)"
GA,Floyd County,moratorium,active,2026-06-09,https://www.wrganews.com/2026/06/10/the-floyd-county-commission-approved-an-80-day-moratorium-on-data-center-projects/ (hawthorn-tva-review-2026-08-21: 80-day term)
KY,Simpson County,zoning_standards,active,2025-12,"https://www.lpm.org/news/2026-01-28/data-center-developer-sues-simpson-county-government-over-land-use-ordinance (hawthorn-tva-review-2026-08-21: ordinance 440.70, under litigation)"
TN,Hamilton County,moratorium,active,2026-07-15,https://www.timesfreepress.com/news/2026/jul/15/hamilton-county-commission-approves-yearlong-data/ (hawthorn-tva-review-2026-08-21: one-year term)
TN,Grundy County,moratorium,active,2026-05-18,https://www.sewaneemessenger.com/headlines/?post_id=3474&title=trend-setting-grundy-county-data-center-moratorium (hawthorn-tva-review-2026-08-21: two-year term to 2028-05-18)
TN,Coffee County,moratorium,active,2026-06-09,https://www.newschannel5.com/news/state/tennessee/coffee-county/coffee-county-bans-new-data-centers-for-one-year (hawthorn-tva-review-2026-08-21: one-year term)
GA,Walker County,moratorium,active,2026-07-09,https://walkercountyga.gov/2026/08/07/board-delays-budget-vote-enacts-180-day-moratorium-on-data-centers/ (hawthorn-tva-review-2026-08-21: extended from 30 to 180 days on 2026-08-06)
