name,operator,state,county,sqft,lat,lon,type
Cox Data Center,,Georgia,Fulton County,127858.0,34.03620188757935,-84.31955321505815,building
QTS Atlanta Data Center 1,Quality Technology Services,Georgia,Fulton County,719736.0,33.7776811736858,-84.42109985598158,building
Csquare SFO3,Csquare,California,Santa Clara County,71209.0,37.372103697929965,-121.98603139645,building
Centersquare IAD3,Centersquare,Virginia,Loudoun County,130748.0,38.98092474637894,-77.44424695215189,building
Centersquare IAD2-A,Centersquare,Virginia,Loudoun County,48153.0,38.98441813209926,-77.42381651986251,building
Unknown,CyrusOne,Virginia,Loudoun County,127744.0,38.98488674675325,-77.42564884364357,building
Centersquare IAD2-B,Centersquare,Virginia,Loudoun County,71819.0,38.98360375263324,-77.42410521314366,building
Digital Realty Data Center,Digital Realty,Georgia,Fulton County,128785.0,33.65703230386123,-84.41520253319351,building
Cyxtera (Digital Realty Trust) Citibank Data Center,Cyxtera,New Jersey,Hudson County,58356.0,40.76076492901499,-74.02575833881977,building
Digital Realty New Jersey EWR10,Digital Realty,New Jersey,Hudson County,126960.0,40.76183107982837,-74.0250249144998,building
Unknown,,Washington,Grant County,151976.0,47.24621227884292,-119.81322935255956,building
Unknown,,Washington,Grant County,133363.0,47.24765247479226,-119.81318678101924,building
Unknown,,Washington,Grant County,135310.0,47.24616793078344,-119.81575602489733,building
Intergate Quincy Data Center,Sabey Data Centers,Washington,Grant County,4318512.0,47.24532712863972,-119.81593119578888,campus
H5 Data Center,Intuit,Washington,Grant County,2700606.0,47.25141148987496,-119.8187531190913,campus
Unknown,,Washington,Grant County,246778.0,47.2525738060569,-119.81966487505578,building
Yahoo Data Center,Yahoo,Washington,Grant County,2171290.0,47.24698453090597,-119.82778184700376,campus
Unknown,,Washington,Grant County,151213.0,47.24673555311077,-119.82886591661293,building
Unknown,,Washington,Grant County,35848.0,47.2459914143102,-119.8297911817926,building
Unknown,,Washington,Grant County,35925.0,47.24598939949083,-119.8291703,building
Unknown,,Washington,Grant County,33824.0,47.24598937431324,-119.82815880653992,building
Unknown,,Washington,Grant County,33688.0,47.24600329947973,-119.82754149992972,building
Unknown,,Washington,Grant County,19067.0,47.24606673682079,-119.82866158737184,building
NTTData Data Center,,Washington,Grant County,3068566.0,47.24435998530277,-119.86463264336116,campus
DataSite Atlanta,datasite,Georgia,Cobb County,77660.0,33.92551125989177,-84.48161598883719,building
Unknown,,Missouri,Platte County,30923.0,39.290121050497966,-94.68505095083452,building
Digital Realty San Francisco SFO10,Digital Realty,California,San Francisco County,104867.0,37.7236016950597,-122.39793596994734,building
33 Thomas Street,,New York,New York County,30791.0,40.7165249817088,-74.0059130609563,building
VentureData,,Idaho,Madison County,18269.0,43.8252432321768,-111.78209278694165,building
Cogent Data Center,"Cogent Communications, Inc.",Arizona,Maricopa County,51675.0,33.400255234990105,-112.04789988122732,building
CoreSpace Dallas,CoreSpace,Texas,Dallas County,31626.0,32.81755909182154,-96.87306493151615,building
Unknown,,Colorado,Arapahoe County,108473.0,39.59013144249605,-104.8469632823158,building
zColo by Zayo,,Colorado,Arapahoe County,62177.0,39.591351747526645,-104.84703864109652,building
Intergate Seattle East Building 5,Sabey,Washington,King County,200124.0,47.49191977023952,-122.28973615206532,building
Intergate Seattle East Building 3,Sabey,Washington,King County,203387.0,47.493556238112845,-122.29030164481166,building
Intergate Seattle East Building 4,Digital Realty,Washington,King County,116828.0,47.49341087440766,-122.28885825770004,building
Flexential Allentown data center,Flexential,Pennsylvania,Lehigh County,48995.0,40.635695315852814,-75.45757328328773,building
Digital Realty ACC4,Digital Realty,Virginia,Loudoun County,294156.0,39.01790179112408,-77.46254912313509,building
Equinix Ashburn DC1,Equinix,Virginia,Loudoun County,59757.0,39.01556033255059,-77.46032653997727,building
Equinix Ashburn DC5,Equinix,Virginia,Loudoun County,94665.0,39.01598729725932,-77.46124797924023,building
Equinix Ashburn DC11,Equinix,Virginia,Loudoun County,132897.0,39.014930750375306,-77.45880365175545,building
Equinix Ashburn DC3,Equinix,Virginia,Loudoun County,186227.0,39.021947987272775,-77.46028710356292,building
Digital Realty ACC3,Digital Realty,Virginia,Loudoun County,151562.0,39.01993590507545,-77.45984179886374,building
CoreSite SV2,"CoreSite Real Estate 1656 McCarthy, L.P.",California,Santa Clara County,89939.0,37.40568310648504,-121.91624119521208,building
Amazon IAD76,Amazon Web Services,Virginia,Loudoun County,138071.0,38.99378528168933,-77.45050945562221,building
Amazon IAD12,Amazon Web Services,Virginia,Loudoun County,149598.0,38.98872330810434,-77.44767141862896,building
Unknown,QTS Data Centers,Virginia,Loudoun County,10175.0,38.99463732348249,-77.44790209132543,building
Digital Realty ACC5,Digital Realty,Virginia,Loudoun County,298859.0,39.02011263672101,-77.46307101056209,building
Digital Realty ACC6,Digital Realty,Virginia,Loudoun County,226152.0,39.02106804323565,-77.46358953091513,building
Level 3 Ashburn,Lumen Technologies,Virginia,Loudoun County,49022.0,39.0221725562622,-77.45759526371418,building
Centersquare IAD4-B,Centersquare,Virginia,Loudoun County,90029.0,39.022140336655866,-77.45360972261447,building
NTT Ashburn VA1 Data Center,NTT,Virginia,Loudoun County,138507.0,39.02276445956019,-77.45486923381064,building
Digital Realty Phoenix PHX15,Digital Realty,Arizona,Maricopa County,294678.0,33.27497378533701,-111.88662619785596,building
H5 Phoenix,H5,Arizona,Maricopa County,50925.0,33.27691083822963,-111.88590913146852,building
CyrusOne PHX1,CyrusOne,Arizona,Maricopa County,137355.0,33.27085532906607,-111.88191152923802,building
Equinix DC13,Equinix,Virginia,Loudoun County,125613.0,39.01253746084648,-77.47539286797381,building
Digital Realty Northern Virginia IAD14,Digital Realty,Virginia,Loudoun County,134503.0,39.00333638342545,-77.48709346092416,building
Amazon Web Services Building C,Amazon Web Services,Virginia,Loudoun County,116698.0,39.00275165389682,-77.48544866796638,building
Digital Realty Northern Virginia IAD12,Digital Realty,Virginia,Loudoun County,180269.0,39.002021512406806,-77.48334543979661,building
Digital Realty Building A,Digital Realty,Virginia,Loudoun County,133113.0,39.00275464974417,-77.48195442999278,building
Digital Realty Northern Virginia IAD24,Digital Realty,Virginia,Loudoun County,114428.0,39.00429228111817,-77.48435473615672,building
Databank Ashburn IAD1,Databank,Virginia,Loudoun County,144740.0,39.01554879745239,-77.48213787541994,building
Golds Gym Ashburn,,Virginia,Loudoun County,54700.0,39.01560147883306,-77.48327064329858,building
Apple Data Center,Apple Inc.,Arizona,Maricopa County,1338261.0,33.34701915860399,-111.60405623426205,building
VISA,VISA,Illinois,Lake County,55001.0,42.216756536018735,-87.95284650862307,building
John F. Simms Building,SONM,New Mexico,Santa Fe County,31727.0,35.67244389730999,-105.95657515744648,building
Lumen San Antonio 2,Lumen Technologies,Texas,Bexar County,12722.0,29.438279094436894,-98.50652172672936,building
Unknown,,Oregon,Crook County,269642.0,44.29588334105515,-120.88726144669496,building
Adobe Data Center,,Oregon,Washington County,89232.0,45.55018168886831,-122.93181213080427,building
Stack Infrastructure Portland 2 Data Center,,Oregon,Washington County,215217.0,45.547311791366376,-122.89744896301694,building
Digital Realty PDX10 Data Center,Digital Realty,Oregon,Washington County,68807.0,45.54761722382477,-122.89195798239216,building
Flexential,Flexential,Oregon,Washington County,41245.0,45.5498209002179,-122.8908514025637,building
Flexential Portland - Hillsboro 1,Flexential,Oregon,Washington County,44088.0,45.55033398642741,-122.89220172053012,building
Flexential Louisville - East,Flexential,Kentucky,Jefferson County,34794.0,38.277197827679295,-85.50724111669626,building
Flexential Louisville - Downtown,Flexential,Kentucky,Jefferson County,36525.0,38.24249601378566,-85.73335104065765,building
Terminal Commerce Building,,Pennsylvania,Philadelphia County,119659.0,39.95980952635984,-75.16083249176855,building
TierPoint,,Washington,Spokane County,14435.0,47.671916867147694,-117.09593477622664,building
